"","date","day_of_week","emotion"
"1",2022-01-01,"Saturday","neutral"
"2",2022-01-02,"Sunday","unhappy"
"3",2022-01-03,"Monday","neutral"
"4",2022-01-04,"Tuesday","neutral"
"5",2022-01-05,"Wednesday","neutral"
"6",2022-01-06,"Thursday","unhappy"
"7",2022-01-07,"Friday","neutral"
"8",2022-01-08,"Saturday","unhappy"
"9",2022-01-09,"Sunday","neutral"
"10",2022-01-10,"Monday","neutral"
"11",2022-01-11,"Tuesday","neutral"
"12",2022-01-12,"Wednesday","neutral"
"13",2022-01-13,"Thursday","unhappy"
"14",2022-01-14,"Friday","neutral"
"15",2022-01-15,"Saturday","unhappy"
"16",2022-01-16,"Sunday","neutral"
"17",2022-01-17,"Monday","unhappy"
"18",2022-01-18,"Tuesday","unhappy"
"19",2022-01-19,"Wednesday","unhappy"
"20",2022-01-20,"Thursday","neutral"
"21",2022-01-21,"Friday","neutral"
"22",2022-01-22,"Saturday","neutral"
"23",2022-01-23,"Sunday","neutral"
"24",2022-01-24,"Monday","neutral"
"25",2022-01-25,"Tuesday","neutral"
"26",2022-01-26,"Wednesday","neutral"
"27",2022-01-27,"Thursday","neutral"
"28",2022-01-28,"Friday","neutral"
"29",2022-01-29,"Saturday","neutral"
"30",2022-01-30,"Sunday","neutral"
"31",2022-01-31,"Monday","neutral"
"32",2022-02-01,"Tuesday","neutral"
"33",2022-02-02,"Wednesday","unhappy"
"34",2022-02-03,"Thursday","neutral"
"35",2022-02-04,"Friday","neutral"
"36",2022-02-05,"Saturday","neutral"
"37",2022-02-06,"Sunday","neutral"
"38",2022-02-07,"Monday","neutral"
"39",2022-02-08,"Tuesday","neutral"
"40",2022-02-09,"Wednesday","neutral"
"41",2022-02-10,"Thursday","neutral"
"42",2022-02-11,"Friday","unhappy"
"43",2022-02-12,"Saturday","neutral"
"44",2022-02-13,"Sunday","neutral"
"45",2022-02-14,"Monday","neutral"
"46",2022-02-15,"Tuesday","happy"
"47",2022-02-16,"Wednesday","neutral"
"48",2022-02-17,"Thursday","neutral"
"49",2022-02-18,"Friday","neutral"
"50",2022-02-19,"Saturday","unhappy"
"51",2022-02-20,"Sunday","neutral"
"52",2022-02-21,"Monday","neutral"
"53",2022-02-22,"Tuesday","unhappy"
"54",2022-02-23,"Wednesday","neutral"
"55",2022-02-24,"Thursday","unhappy"
"56",2022-02-25,"Friday","neutral"
"57",2022-02-26,"Saturday","neutral"
"58",2022-02-27,"Sunday","unhappy"
"59",2022-02-28,"Monday","neutral"
"60",2022-03-01,"Tuesday","neutral"
"61",2022-03-02,"Wednesday","neutral"
"62",2022-03-03,"Thursday","neutral"
"63",2022-03-04,"Friday","unhappy"
"64",2022-03-05,"Saturday","happy"
"65",2022-03-06,"Sunday","neutral"
"66",2022-03-07,"Monday","neutral"
"67",2022-03-08,"Tuesday","neutral"
"68",2022-03-09,"Wednesday","neutral"
"69",2022-03-10,"Thursday","neutral"
"70",2022-03-11,"Friday","neutral"
"71",2022-03-12,"Saturday","unhappy"
"72",2022-03-13,"Sunday","unhappy"
"73",2022-03-14,"Monday","unhappy"
"74",2022-03-15,"Tuesday","unhappy"
"75",2022-03-16,"Wednesday","neutral"
"76",2022-03-17,"Thursday","neutral"
"77",2022-03-18,"Friday","unhappy"
"78",2022-03-19,"Saturday","neutral"
"79",2022-03-20,"Sunday","neutral"
"80",2022-03-21,"Monday","neutral"
"81",2022-03-22,"Tuesday","neutral"
"82",2022-03-23,"Wednesday","neutral"
"83",2022-03-24,"Thursday","unhappy"
"84",2022-03-25,"Friday","neutral"
"85",2022-03-26,"Saturday","neutral"
"86",2022-03-27,"Sunday","neutral"
"87",2022-03-28,"Monday","unhappy"
"88",2022-03-29,"Tuesday","neutral"
"89",2022-03-30,"Wednesday","neutral"
"90",2022-03-31,"Thursday","happy"
"91",2022-04-01,"Friday","unhappy"
"92",2022-04-02,"Saturday","neutral"
"93",2022-04-03,"Sunday","neutral"
"94",2022-04-04,"Monday","neutral"
"95",2022-04-05,"Tuesday","neutral"
"96",2022-04-06,"Wednesday","neutral"
"97",2022-04-07,"Thursday","neutral"
"98",2022-04-08,"Friday","happy"
"99",2022-04-09,"Saturday","neutral"
"100",2022-04-10,"Sunday","neutral"
"101",2022-04-11,"Monday","neutral"
